user_id,name,email,phone,age,gender,location,neighborhood,postcode,income_level,family_status,total_interactions,properties_viewed,events_tracked,total_inspections,unique_properties_inspected,total_crm_interactions,agents_contacted,most_frequent_tags,unique_tags_viewed,most_liked_feature,avg_condition_rating,avg_agent_interaction_rating,avg_inspection_satisfaction,avg_likelihood_to_buy,engagement_score,inspection_score,crm_score,property_preference_score,total_lead_score
1,Mark White,gwilliams@example.com,722.304.7352x481,20,Male,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,With Kids,1.0,0.0,1.0,2.0,2.0,0.0,0.0,None,0.0,Kitchen,5.0,5.0,4.0,2.5,15.0,202.5,0.0,0.0,29.09698996655518
2,Gregory Woodard,jamesstewart@example.net,(992)358-3215x5170,45,Female,"Sydney, Paddington, 2021",Paddington,2021,High,With Kids,0.0,0.0,0.0,2.0,2.0,2.0,1.0,None,0.0,Balcony,4.0,3.5,4.0,1.5,0.0,170.0,40.0,0.0,28.093645484949832
3,Stephanie Wood,jthomas@example.com,(285)640-7191x3046,46,Male,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Medium,Single,10.0,8.0,4.0,5.0,5.0,1.0,1.0,Investment,3.0,"Bathrooms, Living Space",3.0,3.4,2.6,2.6,200.0,274.0,25.0,15.0,68.76254180602007
4,Kristy Barnes,scott27@example.com,001-978-385-4013x71362,47,Male,"Sydney, Newtown, 2042",Newtown,2042,Low,With Kids,10.0,6.0,4.0,1.0,1.0,0.0,0.0,Affordable,3.0,"Garage, Bedrooms",5.0,3.0,1.0,1.0,180.0,120.0,0.0,15.0,42.14046822742475
5,Tammy Smith,gparker@example.net,+1-971-895-5457x889,30,Male,"Sydney, Newtown, 2042",Newtown,2042,Medium,Single,6.0,4.0,3.0,1.0,1.0,0.0,0.0,Luxury,1.0,"Price, Living Space",5.0,3.0,1.0,4.0,115.0,165.0,0.0,5.0,38.12709030100335
6,Kevin Miller,fletcherkatherine@example.org,+1-600-804-6409x24696,52,Male,"Sydney, Surry Hills, 2010",Surry Hills,2010,Low,With Kids,10.0,7.0,4.0,3.0,3.0,3.0,3.0,Luxury,3.0,Bedrooms,1.6666666666666667,4.0,3.0,2.0,190.0,186.66666666666669,75.0,15.0,62.43032329988852
7,Kimberly Huffman,angelamartin@example.net,419.269.7007,57,Female,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,Low,Single,0.0,0.0,0.0,1.0,1.0,1.0,1.0,None,0.0,Balcony,1.0,3.0,3.0,1.0,0.0,90.0,25.0,0.0,15.384615384615385
8,Jeffrey Gonzales,garciasandra@example.net,(351)242-0495,26,Female,"Sydney, Chatswood, 2067",Chatswood,2067,High,With Kids,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Luxury,1.0,None,,,,,25.0,,0.0,5.0,
9,Sarah Hawkins,fischermary@example.org,(906)712-8271x884,36,Male,"Sydney, Newtown, 2042",Newtown,2042,Medium,With Kids,4.0,4.0,3.0,0.0,0.0,0.0,0.0,Investment,3.0,None,,,,,95.0,,0.0,15.0,
10,John Bell,taylorrobert@example.org,(236)675-6531x605,58,Female,"Sydney, Sydney CBD, 2000",Sydney CBD,2000,Medium,Single,2.0,2.0,2.0,1.0,1.0,1.0,1.0,Affordable,2.0,"Kitchen, Garage",4.0,4.0,2.0,2.0,50.0,135.0,25.0,10.0,29.431438127090303
11,Kristen Perkins,michael09@example.com,852-270-2069,29,Male,"Sydney, Darlinghurst, 2010",Darlinghurst,2010,High,Married,3.0,2.0,3.0,1.0,1.0,0.0,0.0,Affordable,2.0,"Price, Living Space",1.0,4.0,1.0,3.0,65.0,115.0,0.0,10.0,25.418060200668897
12,Karla Nichols,qmeyer@example.com,213-777-2987,45,Male,"Sydney, Chatswood, 2067",Chatswood,2067,Low,With Kids,11.0,6.0,4.0,1.0,1.0,1.0,1.0,Investment,3.0,"Bathrooms, Garage",5.0,4.0,2.0,3.0,190.0,160.0,25.0,15.0,52.17391304347826
13,Maria Jacobs,jessicariggs@example.com,(210)508-8320x9223,56,Female,"Sydney, Parramatta, 2150",Parramatta,2150,Medium,With Kids,20.0,11.0,4.0,0.0,0.0,1.0,1.0,Luxury,3.0,None,,,,,330.0,,25.0,15.0,
14,Mark Jackson,collinsjoshua@example.org,478-970-0508x824,23,Female,"Sydney, Parramatta, 2150",Parramatta,2150,High,With Kids,0.0,0.0,0.0,2.0,2.0,2.0,2.0,None,0.0,Living Space,3.0,3.0,2.0,3.0,0.0,170.0,50.0,0.0,29.431438127090303
15,Heather Davis,roger31@example.net,001-748-587-7474x324,37,Female,"Sydney, Chatswood, 2067",Chatswood,2067,Medium,Married,0.0,0.0,0.0,1.0,1.0,1.0,1.0,None,0.0,"Bathrooms, Garage, Bedrooms",3.0,3.0,3.0,3.0,0.0,140.0,25.0,0.0,22.073578595317723
