Agent ID,First Name,Last Name,Email Address,Phone Number,Position Title,Agency ID,Agency Name,Assigned Projects,Assigned Properties,Assigned Leasing Properties,Agent's Clients,Experience (Years),Average Rating
1,Donald,Arnold,aliciagardner@example.org,001-227-315-1248x025,Music tutor,25,FREE BIRD,"drop, difficult, name","36, 39, 43, 87, 64, 25, 92, 59, 70, 2, 85, 58, 18, 96",7,41,5,3.8
2,Carmen,Miller,debbie13@example.org,4355375895,Manufacturing engineer,30,Home 789,"front, professional, Mrs","86, 74, 42, 7, 19, 56, 24, 73, 48, 92, 46, 81, 65",6,38,7,4.93
3,Erin,Martin,steventhomas@example.org,999-885-1707,Architect,25,FREE BIRD,"minute, event, radio","99, 66, 84, 59, 1, 78",3,13,18,3.76
4,Chloe,Castro,wanderson@example.net,218-244-3082,Research scientist (physical sciences),40,Blue Horizon Estates,"result, thing, region","49, 25, 10, 71, 39, 15, 32, 3, 79, 70",7,17,14,4.61
5,Lori,Snow,samantha46@example.org,001-481-618-1121x49999,Merchant navy officer,25,FREE BIRD,"turn, lot, step","92, 88, 63, 52, 42, 28, 57, 25, 69, 79, 91, 98, 9",9,34,19,3.81
6,Jade,Fowler,kathleenmathis@example.net,487-883-8601,Toxicologist,11,Cove Property,"attack, thousand, ever","67, 17, 91, 39, 25, 1, 66, 93, 57, 71, 76",2,41,3,3.51
7,Eric,Peterson,catherineperez@example.com,+1-427-622-8786x1694,Environmental education officer,35,Skyline Realty,"away, manage, investment","27, 18, 64, 99, 39, 16, 72, 88, 17, 85, 98, 73, 7, 49, 63",9,35,18,4.94
8,Troy,Walker,vanessawright@example.org,(874)691-3456x715,Museum/gallery conservator,25,FREE BIRD,"media, forget, at","81, 45, 76, 77, 6, 8, 75, 41, 44",8,47,18,4.71
9,William,Smith,ahudson@example.org,927-497-7201x4304,Visual merchandiser,25,FREE BIRD,"save, price, listen","64, 41, 84, 80, 30, 8, 28, 42",6,37,17,4.37
10,Justin,Miller,lburgess@example.net,+1-949-314-2676x13216,Osteopath,25,FREE BIRD,"manager, reality, figure","12, 43, 67, 7, 79, 56",6,44,20,3.86
