Property ID,Name,Company,Email Address,Phone Number,Zip Code,Address,City,State,Suburb,Latitude,Longitude,Did you find what you were looking for,Overall Condition of the Property,Interaction with the agent,Satisfaction with the inspection process,Likelihood to Buy or Rent,What did you like most?,How well did the property meet your needs?,View Similar Properties,Additional Comments
7,Danielle Cole,"Haynes, Harris and Holmes",meyersjerry@example.org,02 2952 6205,0891,04 Dawn Fire Track,Sydney,NSW,Penrith,-33.751,150.6949,0,5,1,5,5,Garage,4,1,The backyard is spacious and perfect for entertaining guests.
13,Jason Boyd,Taylor Ltd,danny26@example.com,03 6090 5226,3144,Flat 42 968 Jennifer Nook,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,1,3,3,5,Bedrooms,1,1,The balcony offers stunning views of the surrounding area.
9,Megan Marshall,Mcmahon-Little,qrichardson@example.com,0787224929,2848,858/4 Herrera Underpass,Sydney,NSW,Cronulla,-34.0527,151.1523,1,1,5,4,2,Garage,3,0,The bedrooms are well-sized and have plenty of natural light.
5,Lucas Murphy,"Rogers, Sherman and Smith",michael94@example.net,(03) 3250 6698,2902,3/179 Smith Rosebowl,Sydney,NSW,Parramatta,-33.814,151.0031,0,4,5,5,5,Living Space,3,0,I love the modern kitchen layout and the high-end appliances.
5,Megan Martin,Hurst-Harrington,garciatommy@example.com,+61332179973,6786,47/023 Shannon Highroad,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,5,1,2,3,Living Space,3,0,The backyard is spacious and perfect for entertaining guests.
11,Matthew Anderson,Scott-Chapman,patricia85@example.net,0404 295 372,2830,Unit 94 34 Johnson Place,Sydney,NSW,Newtown,-33.8971,151.1796,1,5,4,5,5,Garage,5,1,"The property is in a great location, close to shops and public transport."
9,Stephen Mccoy,Blackburn-Brooks,fcaldwell@example.org,0470 123 070,2603,0 Watts Formation,Sydney,NSW,Mosman,-33.8295,151.2443,0,3,3,3,2,"Balcony, Living Space",5,0,The bedrooms are well-sized and have plenty of natural light.
14,Sharon Clark,Harper and Sons,gabrielturner@example.org,0436.923.876,2625,1 Bonilla Stairs,Sydney,NSW,Cronulla,-34.0527,151.1523,1,2,5,5,4,"Bathrooms, Price, Living Space",4,1,"The property is in a great location, close to shops and public transport."
3,Matthew Scott,Peters-Kaufman,andersonbrian@example.net,+61 450 566 444,2147,679 Clark Cruiseway,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,4,4,3,4,"Bedrooms, Balcony, Garage",1,1,The bedrooms are well-sized and have plenty of natural light.
20,Michael Powell,"Walker, Shaw and Lambert",hernandezchristopher@example.com,0452-535-259,2446,56/07 Christine Link,Sydney,NSW,Penrith,-33.751,150.6949,0,4,1,1,3,"Kitchen, Price",3,1,"The neighborhood is quiet and family-friendly, which is a big plus."
14,Lindsey Morrison,"Adams, Cruz and James",diana88@example.net,(02)-0201-8059,2966,42 Rogers Row,Sydney,NSW,Mosman,-33.8295,151.2443,0,5,1,2,3,"Garage, Bathrooms",2,0,The open-plan living space makes the home feel very spacious.
8,Lisa Jenkins,Pratt and Sons,masseyholly@example.com,+61.8.4098.2100,2951,Level 7 69 Katie Brow,Sydney,NSW,Newtown,-33.8971,151.1796,0,3,4,4,1,"Balcony, Garage, Price",1,1,The price seems reasonable for the area and the amenities offered.
15,Tyler Mills,Foley LLC,jeffreyhenry@example.com,07.9003.2338,2619,1 Francisco Promenade,Sydney,NSW,Surry Hills,-33.8836,151.2115,1,5,5,5,2,"Bedrooms, Kitchen",3,0,"The property is in a great location, close to shops and public transport."
3,Vanessa Fisher,"Ramirez, Hendricks and Robinson",sharonmoon@example.com,0880859769,2985,Suite 220 937 Armstrong Bend,Sydney,NSW,Parramatta,-33.814,151.0031,1,5,2,4,3,"Living Space, Bathrooms",2,0,"The property is in a great location, close to shops and public transport."
7,Eric Yu,Smith Ltd,griffindeborah@example.org,+61 2 2174 2837,2917,913 Ochoa State Highway,Sydney,NSW,Penrith,-33.751,150.6949,1,3,2,4,1,"Kitchen, Garage",4,1,The balcony offers stunning views of the surrounding area.
3,Victor Martinez,Sherman-Flores,erica15@example.net,+61.7.0354.5816,2650,Flat 88 3 Daniel Promenade,Sydney,NSW,Mosman,-33.8295,151.2443,1,4,1,4,4,"Living Space, Kitchen",5,0,The bedrooms are well-sized and have plenty of natural light.
20,Elizabeth Baldwin,Boyle LLC,diana52@example.com,4875 7970,2089,Apt. 532 97 Ryan Street,Sydney,NSW,Liverpool,-33.9175,150.9244,1,2,4,2,4,Neighborhood,3,1,The backyard is spacious and perfect for entertaining guests.
14,Alexander Little,"Mcdaniel, Burnett and Graham",kchristensen@example.org,(07).7905.4001,2987,64/121 Mills Promenade,Sydney,NSW,Bondi,-33.8915,151.2767,0,3,4,4,1,"Garage, Balcony, Bedrooms",5,0,"The neighborhood is quiet and family-friendly, which is a big plus."
14,Rose Kirby,"Jones, Miller and Burnett",williamslatasha@example.net,08-0011-5745,2141,Unit 82 582 Kimberly Brae,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,2,1,4,3,"Neighborhood, Balcony",4,1,The price seems reasonable for the area and the amenities offered.
3,Alexander Sanders MD,"Cortez, Gonzales and West",hernandezjocelyn@example.com,0454-177-941,2981,5 Brandon Viaduct,Sydney,NSW,Penrith,-33.751,150.6949,0,5,3,5,3,"Kitchen, Neighborhood, Garage",5,1,"The neighborhood is quiet and family-friendly, which is a big plus."
11,Patrick James,"Thompson, Wong and Clark",jessica52@example.net,+61.8.4422.5768,2940,7/58 Beard Glade,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,2,3,1,3,"Balcony, Bathrooms",4,1,The balcony offers stunning views of the surrounding area.
10,Eric Peters,Brown PLC,alexandrageorge@example.org,(08) 9050 0405,2921,Unit 59 312 Patrick Lower,Sydney,NSW,Liverpool,-33.9175,150.9244,1,2,3,3,1,"Garage, Living Space, Bathrooms",2,1,The bedrooms are well-sized and have plenty of natural light.
14,William Montes,Ortiz-Atkins,cookjeffery@example.org,+61237778342,2927,34 Fletcher Grove,Sydney,NSW,Liverpool,-33.9175,150.9244,0,5,3,3,4,"Bathrooms, Bedrooms",4,0,The bedrooms are well-sized and have plenty of natural light.
1,Timothy Hayes,Johnson Ltd,idelgado@example.com,+61.425.488.683,2881,Flat 81 16 Destiny Trailer,Sydney,NSW,Bondi,-33.8915,151.2767,1,1,3,3,3,"Price, Living Space, Kitchen",3,1,I love the modern kitchen layout and the high-end appliances.
12,Jaclyn Holt,"Mayo, Pacheco and Evans",campbelljason@example.net,+61-7-7380-0224,2960,482 Andre Glade,Sydney,NSW,Manly,-33.7963,151.2875,1,3,2,3,2,"Price, Living Space",2,0,The price seems reasonable for the area and the amenities offered.
11,Lori White,Logan PLC,thomasjeffery@example.org,07 9957 0305,2920,Apt. 648 3 Diane Top,Sydney,NSW,Manly,-33.7963,151.2875,1,2,3,5,2,Garage,5,1,The price seems reasonable for the area and the amenities offered.
6,Jesse Harris,Lin PLC,kimberlypaul@example.com,(03)56240933,2328,92 Jensen Courtyard,Sydney,NSW,Surry Hills,-33.8836,151.2115,0,3,2,1,2,Living Space,2,1,The price seems reasonable for the area and the amenities offered.
18,David Jones,"Gross, Baker and Santana",kburns@example.com,3707 3200,2676,2 Charles Boulevard,Sydney,NSW,Chatswood,-33.7969,151.1832,0,2,3,2,3,Kitchen,1,0,The balcony offers stunning views of the surrounding area.
20,Samantha White,Knight Group,fmccormick@example.com,03.0637.6540,2345,26 Kaitlyn Rosebowl,Sydney,NSW,Mosman,-33.8295,151.2443,1,2,4,5,5,"Balcony, Neighborhood",4,0,The price seems reasonable for the area and the amenities offered.
