user_id,first_name,last_name,email,phone,age,gender,income_level,marital_status,children
U001,Hannah,Williams,user1@example.com,5809514204,32,Male,High,Single,0
U002,Hannah,Davis,user2@example.com,1766902596,64,Other,High,Married,2
U003,John,Brown,user3@example.com,2398716404,31,Other,Middle,Single,2
U004,Fiona,Davis,user4@example.com,6419752656,61,Male,High,Single,2
U005,Edward,Doe,user5@example.com,8249740373,45,Male,Middle,Single,0
U006,Jane,Miller,user6@example.com,8888648014,60,Other,High,Divorced,1
U007,Jane,Williams,user7@example.com,2360036987,54,Female,Middle,Married,1
U008,Hannah,Davis,user8@example.com,3850699771,35,Female,High,Single,2
U009,Bob,Doe,user9@example.com,6471970184,65,Female,Middle,Widowed,0
U010,Alice,Johnson,user10@example.com,4465581124,45,Female,Middle,Single,1
U011,John,Davis,user11@example.com,6655744311,25,Male,Low,Married,2
U012,Fiona,Johnson,user12@example.com,3866837287,47,Other,High,Single,3
U013,George,Brown,user13@example.com,8807400223,43,Other,Middle,Single,3
U014,George,Smith,user14@example.com,8048085079,49,Other,Low,Married,1
U015,Edward,Smith,user15@example.com,2645645598,40,Other,Middle,Single,1
U016,Bob,Johnson,user16@example.com,5503037553,53,Female,Middle,Single,1
U017,Fiona,Doe,user17@example.com,5672653240,47,Other,Middle,Single,2
U018,Hannah,Doe,user18@example.com,1995413689,58,Other,Middle,Married,1
U019,Hannah,Davis,user19@example.com,7289624326,38,Female,Low,Married,3
U020,George,Brown,user20@example.com,3051758600,28,Other,Low,Widowed,1
